"Folder","FileName","Extension","SizeKB","LastModified"
"DC.SLQ001 (In Process)","DCO089.docx",".docx","262.8","2026-04-23"
"DC.SLQ001 (In Process)","FM1-QM.SLQ004 A Design Project Scope Form DC.SLQ001.docx",".docx","274.9","2026-04-15"
"DC.SLQ001 (In Process)","Risk Management Review Confirmation Memo — DC.SLQ001.docx",".docx","264.2","2026-04-17"
"DC.SLQ001 (In Process)","TMP2-QM.SLQ007 A Design Input Output Matrix Template DC.SLQ001.docx",".docx","255.9","2026-04-23"
"DC.SLQ002 (In Process)","DC.SLQ002 A Design Project Plan, SilqQMS EDMS Transition.docx",".docx","260.5","2026-04-21"
"DC.SLQ002 (In Process)","Executed Design Project Scope Form DC.SLQ002 BM_CT signed.pdf",".pdf","787.8","2026-04-17"
"DCOs","Silq DCO Log.pdf",".pdf","348.7","2026-04-23"
"DCOs","Silq Document Number Log.pdf",".pdf","718","2026-04-21"
"DCOs\DCO Forms","DCO001.docx",".docx","68.8","2026-03-31"
"DCOs\DCO Forms","DCO002.docx",".docx","72.9","2026-03-31"
"DCOs\DCO Forms","DCO003.docx",".docx","71.8","2026-03-31"
"DCOs\DCO Forms","DCO004.docx",".docx","71.9","2026-03-31"
"DCOs\DCO Forms","DCO005.docx",".docx","65","2026-03-31"
"DCOs\DCO Forms","DCO006.docx",".docx","67.9","2026-03-31"
"DCOs\DCO Forms","DCO007.docx",".docx","81.6","2026-03-31"
"DCOs\DCO Forms","DCO008.docx",".docx","258.7","2026-03-31"
"DCOs\DCO Forms","DCO009.docx",".docx","262.9","2026-03-31"
"DCOs\DCO Forms","DCO010.docx",".docx","259.1","2026-03-31"
"DCOs\DCO Forms","DCO011.docx",".docx","259.5","2026-03-31"
"DCOs\DCO Forms","DCO012.docx",".docx","259.9","2026-03-31"
"DCOs\DCO Forms","DCO013.docx",".docx","263.6","2026-03-31"
"DCOs\DCO Forms","DCO014.docx",".docx","261","2026-03-31"
"DCOs\DCO Forms","DCO015.docx",".docx","259.9","2026-03-31"
"DCOs\DCO Forms","DCO016.docx",".docx","260.1","2026-03-31"
"DCOs\DCO Forms","DCO017.docx",".docx","259.3","2026-03-31"
"DCOs\DCO Forms","DCO018.docx",".docx","259.9","2026-03-31"
"DCOs\DCO Forms","DCO019.docx",".docx","259.6","2026-03-31"
"DCOs\DCO Forms","DCO020.docx",".docx","259.1","2026-03-31"
"DCOs\DCO Forms","DCO021.docx",".docx","259.6","2026-03-31"
"DCOs\DCO Forms","DCO022.docx",".docx","259.3","2026-03-31"
"DCOs\DCO Forms","DCO023.docx",".docx","260.6","2026-03-31"
"DCOs\DCO Forms","DCO024.docx",".docx","259.5","2026-03-31"
"DCOs\DCO Forms","DCO025.docx",".docx","261.6","2026-03-31"
"DCOs\DCO Forms","DCO026.docx",".docx","261.7","2026-03-31"
"DCOs\DCO Forms","DCO027.docx",".docx","262.4","2026-03-31"
"DCOs\DCO Forms","DCO028.docx",".docx","259.5","2026-03-31"
"DCOs\DCO Forms","DCO029.docx",".docx","259.3","2026-03-31"
"DCOs\DCO Forms","DCO030.docx",".docx","259.5","2026-03-31"
"DCOs\DCO Forms","DCO031.docx",".docx","259.5","2026-03-31"
"DCOs\DCO Forms","DCO032.docx",".docx","261.4","2026-03-31"
"DCOs\DCO Forms","DCO033.docx",".docx","261","2026-03-31"
"DCOs\DCO Forms","DCO034.docx",".docx","261.1","2026-03-31"
"DCOs\DCO Forms","DCO035.docx",".docx","260.7","2026-03-31"
"DCOs\DCO Forms","DCO036.docx",".docx","259.6","2026-03-31"
"DCOs\DCO Forms","DCO037.docx",".docx","259.5","2026-03-31"
"DCOs\DCO Forms","DCO038.docx",".docx","260.5","2026-03-31"
"DCOs\DCO Forms","DCO039.docx",".docx","261.9","2026-03-31"
"DCOs\DCO Forms","DCO040.docx",".docx","259.9","2026-03-31"
"DCOs\DCO Forms","DCO041.docx",".docx","259.9","2026-03-31"
"DCOs\DCO Forms","DCO042A.docx",".docx","259.7","2026-03-31"
"DCOs\DCO Forms","DCO043A.docx",".docx","260.4","2026-03-31"
"DCOs\DCO Forms","DCO044.docx",".docx","259.7","2026-03-31"
"DCOs\DCO Forms","DCO045.docx",".docx","259.8","2026-03-31"
"DCOs\DCO Forms","DCO046.docx",".docx","259.9","2026-03-31"
"DCOs\DCO Forms","DCO046A.docx",".docx","260","2026-03-31"
"DCOs\DCO Forms","DCO047.docx",".docx","259.5","2026-03-31"
"DCOs\DCO Forms","DCO048.docx",".docx","259.2","2026-03-31"
"DCOs\DCO Forms","DCO049.docx",".docx","259.4","2026-03-31"
"DCOs\DCO Forms","DCO050.docx",".docx","259.5","2026-03-31"
"DCOs\DCO Forms","DCO051.docx",".docx","261.1","2026-03-31"
"DCOs\DCO Forms","DCO052.docx",".docx","261.4","2026-03-31"
"DCOs\DCO Forms","DCO053B.docx",".docx","262.4","2026-03-31"
"DCOs\DCO Forms","DCO054.docx",".docx","260.6","2026-03-31"
"DCOs\DCO Forms","DCO055.docx",".docx","259.9","2026-03-31"
"DCOs\DCO Forms","DCO056.docx",".docx","259.8","2026-03-31"
"DCOs\DCO Forms","DCO057.docx",".docx","259.9","2026-03-31"
"DCOs\DCO Forms","DCO058.docx",".docx","260.6","2026-03-31"
"DCOs\DCO Forms","DCO059.docx",".docx","261","2026-03-31"
"DCOs\DCO Forms","DCO060.docx",".docx","259.9","2026-03-31"
"DCOs\DCO Forms","DCO061.docx",".docx","261","2026-03-31"
"DCOs\DCO Forms","DCO062.docx",".docx","260.5","2026-03-31"
"DCOs\DCO Forms","DCO063A.docx",".docx","260.3","2026-03-31"
"DCOs\DCO Forms","DCO064.docx",".docx","260.3","2026-03-31"
"DCOs\DCO Forms","DCO065.docx",".docx","262","2026-03-31"
"DCOs\DCO Forms","DCO066.docx",".docx","260.5","2026-03-31"
"DCOs\DCO Forms","DCO067.docx",".docx","260.2","2026-03-31"
"DCOs\DCO Forms","DCO068.docx",".docx","260.9","2026-03-31"
"DCOs\DCO Forms","DCO069.docx",".docx","260.9","2026-03-31"
"DCOs\DCO Forms","DCO070.docx",".docx","264.1","2026-03-31"
"DCOs\DCO Forms","DCO071.docx",".docx","260.2","2026-03-31"
"DCOs\DCO Forms","DCO072.docx",".docx","260.7","2026-03-31"
"DCOs\DCO Forms","DCO073.docx",".docx","260.8","2026-03-31"
"DCOs\DCO Forms","DCO074.docx",".docx","260.7","2026-03-31"
"DCOs\DCO Forms","DCO075.docx",".docx","260.6","2026-03-31"
"DCOs\DCO Forms","DCO076.docx",".docx","260.1","2026-03-31"
"DCOs\DCO Forms","DCO077B (2).docx",".docx","260.7","2026-03-31"
"DCOs\DCO Forms","DCO077B.docx",".docx","260.7","2026-03-31"
"DCOs\DCO Forms","DCO078.docx",".docx","260.2","2026-03-31"
"DCOs\DCO Forms","DCO079.docx",".docx","260.4","2026-03-31"
"DCOs\DCO Forms","DCO080.docx",".docx","260.4","2026-03-31"
"DCOs\DCO Forms","DCO081.docx",".docx","260.2","2026-03-31"
"DCOs\DCO Forms","DCO082.docx",".docx","260.1","2026-03-31"
"DCOs\DCO Forms","DCO083.docx",".docx","260.6","2026-03-31"
"DCOs\DCO Forms","DCO084.docx",".docx","262.2","2026-03-31"
"DCOs\DCO Forms","DCO085.docx",".docx","263.2","2026-03-31"
"DCOs\DCO Forms","DCO086.docx",".docx","262","2026-03-31"
"DCOs\DCO Forms","DCO087.docx",".docx","262.7","2026-03-31"
"DCOs\DCO Forms","DCO088.docx",".docx","262.2","2026-04-21"
"DCOs\DCO Forms","DCO089.docx",".docx","263.2","2026-04-21"
"DHF Validations","VV.SLQ001 A Test Report, In-Vitro Bacterial Adhesion Comparative Study.docx",".docx","347.8","2026-03-10"
"DHF Validations","VV.SLQ002 A Test Protocol, Crystal Violet Absorbance, Silq Surface Treatment.docx",".docx","322.7","2026-03-10"
"DHF Validations","VV.SLQ003 A Test Protocol, Coating Adherence Verification, Silq Surface Treatment.docx",".docx","321","2026-03-10"
"DHF Validations","VV.SLQ004 A Test Protocol, Lubricity Durability Study, Silq Surface Treatment.docx",".docx","506.1","2026-03-10"
"DHF Validations","VV.SLQ005 A Test Report, Crystal Violet Absorbance, Silq Surface Treatment.docx",".docx","324","2026-03-10"
"DHF Validations","VV.SLQ006 A Test Report, Coating Adherence Verification, Silq Surface Treatment.docx",".docx","322.5","2026-03-10"
"DHF Validations","VV.SLQ007 A Attachment 1 Test Report, Lubricity Durability Study, Silq Surface Treatment.xlsx",".xlsx","12.8","2026-03-10"
"DHF Validations","VV.SLQ007 A Test Report, Lubricity Durability Study, Silq Surface Treatment.docx",".docx","338.2","2026-03-10"
"DHF Validations","VV.SLQ008 A Test Protocol, Saline Soak Stability Experiment, Silq Surface Treatment.docx",".docx","326.7","2026-03-10"
"DHF Validations","VV.SLQ009 A Attachment 1 - Absorbance Results, Saline Soak Stability Experiment.xlsx",".xlsx","12.3","2026-03-10"
"DHF Validations","VV.SLQ009 A Test Report, Saline Soak Stability Experiment, Silq Surface Treatment.docx",".docx","326.6","2026-03-10"
"DHF Validations","VV.SLQ010 A Master Validation Plan, Suspension.docx",".docx","328.2","2026-03-10"
"DHF Validations","VV.SLQ011 A Installation Qualification Protocol, Diafiltration System.docx",".docx","331.2","2026-03-10"
"DHF Validations","VV.SLQ012 A Installation Qualification Protocol, Peristaltic Pump.docx",".docx","331.4","2026-03-10"
"DHF Validations","VV.SLQ013 A Installation Qualification Protocol, Pneumatic Drum Stirrer.docx",".docx","330.9","2026-03-10"
"DHF Validations","VV.SLQ014 A Installation Qualification Protocol, Waste Diaphragm Pump.docx",".docx","331.3","2026-03-10"
"DHF Validations","VV.SLQ015 A Installation Qualification Protocol, Floor Scale, Concentrate Reactor.docx",".docx","331.5","2026-03-10"
"DHF Validations","VV.SLQ016 A Installation Qualification Protocol, Floor Scale, Suspension.docx",".docx","331.7","2026-03-10"
"DHF Validations","VV.SLQ017 A Installation Qualification Protocol, Weighing Scale.docx",".docx","331.6","2026-03-10"
"DHF Validations","VV.SLQ019 A Attachment 1 - Installation Qualification datasheet.pdf",".pdf","2728.5","2026-03-10"
"DHF Validations","VV.SLQ019 A Attachment 2 - Users Manual.pdf",".pdf","2333.6","2026-03-10"
"DHF Validations","VV.SLQ019 A Attachment 3 - PM Calibration Report.pdf",".pdf","2839.2","2026-03-10"
"DHF Validations","VV.SLQ019 A Attachment 4 - Calibration and PM Requirements.pdf",".pdf","853.3","2026-03-10"
"DHF Validations","VV.SLQ019 A Report, Installation Qualification, Diafiltration System, ST-005.docx",".docx","323.5","2026-03-10"
"DHF Validations","VV.SLQ020 A Attachment 1 - Installation Qualification datasheet.pdf",".pdf","2669.9","2026-03-10"
"DHF Validations","VV.SLQ020 A Attachment 2 - Users Manual.pdf",".pdf","1171","2026-03-10"
"DHF Validations","VV.SLQ020 A Attachment 3 - PM Requirements.pdf",".pdf","851.5","2026-03-10"
"DHF Validations","VV.SLQ020 A Report, Installation Qualification, Peristaltic Pump, ST-008.docx",".docx","320.8","2026-03-10"
"DHF Validations","VV.SLQ021 A Attachment 1 - Installation Qualification datasheet.pdf",".pdf","2595.7","2026-03-10"
"DHF Validations","VV.SLQ021 A Attachment 2 - PM Requirements.pdf",".pdf","851.9","2026-03-10"
"DHF Validations","VV.SLQ021 A Report, Installation Qualification, Pnuematic Drum Stirrer, ST-009.docx",".docx","320.7","2026-03-10"
"DHF Validations","VV.SLQ022 A Attachment 1 - Installation Qualification datasheet.pdf",".pdf","2582.9","2026-03-10"
"DHF Validations","VV.SLQ022 A Attachment 2 - Users Manual.pdf",".pdf","1512.6","2026-03-10"
"DHF Validations","VV.SLQ022 A Attachment 3 - PM Requirements.pdf",".pdf","965.6","2026-03-10"
"DHF Validations","VV.SLQ022 A Report, Installation Qualification, Waste Diaphragm Pump, ST-004.docx",".docx","321","2026-03-10"
"DHF Validations","VV.SLQ023 A Attachment 1 - Installation Qualification datasheet.pdf",".pdf","2631.6","2026-03-10"
"DHF Validations","VV.SLQ023 A Attachment 2 - Users Manual.pdf",".pdf","2759.4","2026-03-10"
"DHF Validations","VV.SLQ023 A Attachment 3 - Calibration Certificate.pdf",".pdf","671","2026-03-10"
"DHF Validations","VV.SLQ023 A Attachment 4 - Calibration Requirements.pdf",".pdf","832.4","2026-03-10"
"DHF Validations","VV.SLQ023 A Report, Installation Qualification, Floor Scale, Concentrate Reactor, ST-006.docx",".docx","321.1","2026-03-10"
"DHF Validations","VV.SLQ024 A Attachment 1 - Installation Qualification datasheet.pdf",".pdf","2737.1","2026-03-10"
"DHF Validations","VV.SLQ024 A Attachment 2 - Users Manual.pdf",".pdf","2640.3","2026-03-10"
"DHF Validations","VV.SLQ024 A Attachment 3 - Calibration Certificate.pdf",".pdf","670.9","2026-03-10"
"DHF Validations","VV.SLQ024 A Attachment 4 - Calibration Requirements.pdf",".pdf","832.7","2026-03-10"
"DHF Validations","VV.SLQ024 A Report, Installation Qualification, Floor Scale, Suspension, ST-007.docx",".docx","321","2026-03-10"
"DHF Validations","VV.SLQ025 A Attachment 1 - Installation Qualification Datasheet.pdf",".pdf","1325.7","2026-03-10"
"DHF Validations","VV.SLQ025 A Attachment 2 - Users Manual.pdf",".pdf","1574.5","2026-03-10"
"DHF Validations","VV.SLQ025 A Attachment 3 - Calibration Certificate.PDF",".PDF","725.6","2026-03-10"
"DHF Validations","VV.SLQ025 A Attachment 4 - Calibration Requirements.pdf",".pdf","775.8","2026-03-10"
"DHF Validations","VV.SLQ025 A Report, Installation Qualification, Weighing Scale, ST-012.docx",".docx","321.2","2026-03-10"
"DHF Validations","VV.SLQ026 A Installation Qualification Protocol, UV-Visible Spectrophotometer.docx",".docx","332.5","2026-03-10"
"DHF Validations","VV.SLQ028 B Test Protocol, Suspension Shelf Life Evaluation, Silq Surface Treatment.docx",".docx","329.2","2026-03-10"
"DHF Validations","VV.SLQ029 A - Attachment 1 –  Suspension Certificate of Analysis, Lot No. HXY-825021.pdf",".pdf","728.1","2026-03-10"
"DHF Validations","VV.SLQ029 A - Attachment 2 – Coated Catheter Device History Record, Lot No SLQ-80040411241E.pdf",".pdf","4607.7","2026-03-10"
"DHF Validations","VV.SLQ029 A - Attachment 3 - Suspension Quality Control Report, Aged Suspension.pdf",".pdf","903.5","2026-03-10"
"DHF Validations","VV.SLQ029 A - Attachment 4 - Crystal Violet Absorbance test datasheet, Lot No. SLQ-80040411241E.pdf",".pdf","928.7","2026-03-10"
"DHF Validations","VV.SLQ029 A - Attachment 5 - Coating Adherence Verification test datasheet, Lot No. SLQ-80040411241E.pdf",".pdf","1290.1","2026-03-10"
"DHF Validations","VV.SLQ029 A - Attachment 6 – Weighing Scale ST-012 Calibration Report.pdf",".pdf","879.8","2026-03-10"
"DHF Validations","VV.SLQ029 A - Attachment 7 - Protocol Training Record.pdf",".pdf","1203.5","2026-03-10"
"DHF Validations","VV.SLQ029 A Test Report, Suspension Shelf Life Evaluation, 2 Year Aged, Silq Surface Treatment.docx",".docx","326.8","2026-03-10"
"DHF Validations\Software","Attachment 1 - Software Verification Test Summary, FileHold Version 16.3.pdf",".pdf","207.4","2026-03-25"
"DHF Validations\Software","Attachment 2 - FileHold Verification Test, FileHold Version 16.3, 28Mar2022.pdf",".pdf","36895.4","2026-03-25"
"DHF Validations\Software","DC.SLQ002 A Design Project Plan, SilqQMS EDMS Transition.docx",".docx","260.5","2026-03-31"
"DHF Validations\Software","Executed Design Project Scope Form DC.SLQ002 BM_CT signed.pdf",".pdf","787.8","2026-03-31"
"DHF Validations\Software","FM1-QM.SLQ004 A Design Project Scope Form DC.SLQ002.docx",".docx","253.1","2026-03-27"
"DHF Validations\Software","SilqQMSTransitionPlanV1.docx",".docx","257.6","2026-03-26"
"DHF Validations\Software","SW.SLQ001 A Software Validation Plan, FileHold.docx",".docx","321.3","2026-03-25"
"DHF Validations\Software","SW.SLQ002 A Product Requirements Specification, FileHold.docx",".docx","326","2026-03-25"
"DHF Validations\Software","SW.SLQ003 A Software Verification Test Plan, FileHold.docx",".docx","323.1","2026-03-25"
"DHF Validations\Software","SW.SLQ004 A Software Verification Test Procedure FileHold.docx",".docx","321.5","2026-03-25"
"DHF Validations\Software","SW.SLQ005 A Software Validation Report, FileHold.docx",".docx","319.4","2026-03-25"
"DHF Validations\Software","SW.SLQ006 A Requirements Traceability Matrix, FileHold.docx",".docx","329.5","2026-03-25"
"DHF Validations\Software","SW.SLQ007 A Software Validation Plan, SilqQMS.docx",".docx","324.1","2026-03-25"
"DHF Validations\Software","SW.SLQ008 A Product Requirements Specification^J SilqQMS.docx",".docx","329.7","2026-03-25"
"DHF Validations\Software","SW.SLQ009 A Software Verification Test Plan, SIlqQMS.docx",".docx","329.1","2026-03-27"
"DHRs\C.SLQ001 Lot2209-01-1","Certificate of Analysis, Suspension - Lot 2209-01-1.pdf",".pdf","213.1","2026-03-10"
"DHRs\C.SLQ001 Lot2209-01-1","DHR Review and Approval Form - Lot 2209-01-1.pdf",".pdf","273.9","2026-03-10"
"DHRs\C.SLQ001 Lot2209-01-1","Suspension Processing Traveler, Lot 2209-01-1.pdf",".pdf","2282.9","2026-03-10"
"DHRs\C.SLQ001 Lot2209-01-1","Suspension Quality Control Report Lot 2209-01-1.pdf",".pdf","470.1","2026-03-10"
"DHRs\C.SLQ001 Lot2209-01-2","Certificate of Analysis, Suspension - Lot 2209-01-2.pdf",".pdf","214.8","2026-03-10"
"DHRs\C.SLQ001 Lot2209-01-2","DHR Review and Approval Form - Lot 2209-01-2.pdf",".pdf","274.4","2026-03-10"
"DHRs\C.SLQ001 Lot2209-01-2","Suspension Processing Traveler, Lot 2209-01-2.pdf",".pdf","2461.8","2026-03-10"
"DHRs\C.SLQ001 Lot2209-01-2","Suspension Quality Control Report Lot 2209-01-2.pdf",".pdf","446.7","2026-03-10"
"DHRs\C.SLQ001 Lot2302-01-1","Certificate of Analysis, Suspension - Lot 2302-01-1.pdf",".pdf","213.5","2026-03-10"
"DHRs\C.SLQ001 Lot2302-01-1","Device History Record Lot 2302-01-1.pdf",".pdf","3045.5","2026-03-10"
"DHRs\C.SLQ001 Lot2302-01-1","DHR Review and Approval Form - Lot 2302-01-1.pdf",".pdf","275.1","2026-03-10"
"DHRs\C.SLQ001 Lot2302-01-1","Suspension Quality Control Report, Lot No. 2302-01-1.pdf",".pdf","372.9","2026-03-10"
"DHRs\C.SLQ001 Lot2302-01-2","Certificate of Analysis, Suspension - Lot 2302-01-2.pdf",".pdf","213.5","2026-03-10"
"DHRs\C.SLQ001 Lot2302-01-2","Device History Record Lot 2302-01-2.pdf",".pdf","3107.6","2026-03-10"
"DHRs\C.SLQ001 Lot2302-01-2","DHR Review and Approval Form - Lot 2302-01-2.pdf",".pdf","275.1","2026-03-10"
"DHRs\C.SLQ001 Lot2302-01-2","Suspension Quality Control Report, Lot No. 2302-01-2.pdf",".pdf","372","2026-03-10"
"DHRs\C.SLQ001 Lot2502-01-1","Certificate of Analysis, Suspension - Lot 2502-01-1.pdf",".pdf","217.1","2026-03-10"
"DHRs\C.SLQ001 Lot2502-01-1","DHR Review and Approval Form - Lot 2502-01-1.pdf",".pdf","307.1","2026-03-10"
"DHRs\C.SLQ001 Lot2502-01-1","Suspension Quality Control Report, Lot No. 2502-01-1.pdf",".pdf","1041.1","2026-03-10"
"DHRs\C.SLQ001 Lot2502-01-1","TR-C.SLQ001 A 2502-01-1.pdf",".pdf","6650.6","2026-03-10"
"DHRs\C.SLQ001 Lot2502-01-2","Certificate of Analysis, Suspension - Lot 2502-01-2.pdf",".pdf","181.8","2026-03-10"
"DHRs\C.SLQ001 Lot2502-01-2","DHR Review and Approval Form - Lot 2502-01-2.pdf",".pdf","240.3","2026-03-10"
"DHRs\C.SLQ001 Lot2502-01-2","Suspension Quality Control Report, Lot No. 2502-01-2.pdf",".pdf","627.3","2026-03-10"
"DHRs\C.SLQ001 Lot2502-01-2","TR-C.SLQ001 A 2502-01-2.pdf",".pdf","4286.5","2026-03-10"
"DHRs\SLQ-211410SPT\LotSLQ-1192024","DHR SLQ-211410SPT Rev. B Lot SLQ-11192024 QTY 221.pdf",".pdf","10705.8","2026-03-10"
"DHRs\SLQ-211410SPT\LotSLQ-1192024","Quality Control Results, Coating Adherence Verification, Lot SLQ-11192024.pdf",".pdf","372.3","2026-03-10"
"DHRs\SLQ-211410SPT\LotSLQ-1192024","Quality Control Results, Crystal Violet Absorbance, Lot SLQ-11192024.pdf",".pdf","379.2","2026-03-10"
"DHRs\SLQ-211610SPT\LotSLQ-05012025","DHR_SLQ-211610SPT_Rev B_LN SLQ-05012025_QTY 1298 catheters.pdf",".pdf","16973","2026-03-10"
"DHRs\SLQ-211610SPT\LotSLQ-05012025","OM.SLQ003 SLQ05012025.pdf",".pdf","914.5","2026-03-10"
"DHRs\SLQ-211610SPT\LotSLQ-05012025","OM.SLQ004 SLQ05012025.pdf",".pdf","793.5","2026-03-10"
"DHRs\SLQ-211610SPT\LotSLQ-11202024","DHR SLQ-211610SPT Rev B Lot SLQ-11202024 QTY 944.pdf",".pdf","10896.1","2026-03-10"
"DHRs\SLQ-211610SPT\LotSLQ-11202024","Quality Control Results, Coating Adherence Verification, Lot SLQ-11202024.pdf",".pdf","374","2026-03-10"
"DHRs\SLQ-211610SPT\LotSLQ-11202024","Quality Control Results, Crystal Violet Absorbance, Lot SLQ-11202024.pdf",".pdf","382.8","2026-03-10"
"DHRs\SLQ-211810SPT\LotSLQ-01242025","DHR SLQ-211810SPT Rev B Lot SLQ-01242025 Qty 369.pdf",".pdf","11099.5","2026-03-10"
"DHRs\SLQ-211810SPT\LotSLQ-01242025","OM.SLQ003 A Quality Control Procedure Crystal Violet Absorbance SLQ-01242025.pdf",".pdf","903.3","2026-03-10"
"DHRs\SLQ-211810SPT\LotSLQ-01242025","OM.SLQ004 A Quality Control Procedure Coating Adherence Verification SLQ-01242025.pdf",".pdf","771.4","2026-03-10"
"DHRs\SLQ-211810SPT\LotSLQ-05022025","DHR_SLQ-211810SPT_LN SLQ-05022025_QTY 3268.pdf",".pdf","30727.8","2026-03-10"
"DHRs\SLQ-211810SPT\LotSLQ-05022025","OM.SLQ003 SLQ05022025.pdf",".pdf","888.1","2026-03-10"
"DHRs\SLQ-211810SPT\LotSLQ-05022025","OM.SLQ004 SLQ05022025.pdf",".pdf","816.8","2026-03-10"
"DHRs\SLQ-211810SPT\LotSLQ-11182024","DHR SLQ-211810SPT Rev. B Lot SLQ-11182024 QTY 805.pdf",".pdf","4830.3","2026-03-10"
"DHRs\SLQ-211810SPT\LotSLQ-11182024","Quality Control Procedure Coating Adherence Verification, Lot SLQ-11182024.pdf",".pdf","902.4","2026-03-10"
"DHRs\SLQ-211810SPT\LotSLQ-11182024","Quality Control Procedure Crystal Violet Absorbance, Lot SLQ-11182024.pdf",".pdf","380.8","2026-03-10"
"DHRs\SLQ-211810SPT\LotSLQ-81020515241","DHR SLQ-211810SPT Rev. B Lot SLQ-81020515241 QTY 380.pdf",".pdf","12552.6","2026-03-10"
"DHRs\SLQ-211810SPT\LotSLQ-81020515241","OM.SLQ003 SLQ-81020515241.pdf",".pdf","775.8","2026-03-10"
"DHRs\SLQ-211810SPT\LotSLQ-81020515241","OM.SLQ004 SLQ-81020515241.pdf",".pdf","676.6","2026-03-10"
