document_number,title,doc_type,destination,current_rev,current_source_dco,current_file_path,superseded_revs,status,category,flags
FM4-QM.SLQ030,Advisory and Recall Notices Distribution Log Form,Form,document_control,A,Forms/Templates/Travelers (clean),"Forms, Templates, and Travelers/Forms/FM4-QM.SLQ030 A Advisory and Recall Notices Distribution Log Form.docx",,Released,CAPA & Complaints,
FM4-QM.SLQ050,Unscheduled Maintenance-CAL Out of Tolerance Investigation Form,Form,document_control,B,QMSInProcess package,QMSInProcess/DCO094/FM4-QM.SLQ050 B Unscheduled Maintenance-CAL Out of Tolerance Investigation Form.docx,A,Released,Equipment & Facilities,
FM5-QM.SLQ015,Certificate of Audit Form,Form,document_control,A,Forms/Templates/Travelers (clean),"Forms, Templates, and Travelers/Forms/FM5-QM.SLQ015 A Certificate of Audit Form.docx",,Released,Quality Management System,
FM5-QM.SLQ017,Auditor Qualification Record,Form,document_control,A,Forms/Templates/Travelers (clean),"Forms, Templates, and Travelers/Forms/FM5-QM.SLQ017 A Auditor Qualification Record.docx",,Released,Quality Management System,
FM5-QM.SLQ050,Tag Out Information Form,Form,document_control,A,Forms/Templates/Travelers (clean),"Forms, Templates, and Travelers/Forms/FM5-QM.SLQ050 A Tag Out Information Form.docx",,Released,Equipment & Facilities,
FM6-QM.SLQ015,Approved Supplier List Form,Form,document_control,B,Forms/Templates/Travelers (clean),"Forms, Templates, and Travelers/Forms/FM6-QM.SLQ015 B Approved Supplier List Form.docx",A,Released,Supplier & Purchasing,
FM6-QM.SLQ050,Tag Out Tag,Form,document_control,A,Forms/Templates/Travelers (clean),"Forms, Templates, and Travelers/Forms/FM6-QM.SLQ050 A Tag Out Tag.docx",,Released,Equipment & Facilities,
FM7-QM.SLQ015,Supplier Assess Schedule Form,Form,document_control,B,QMSInProcess package,QMSInProcess/DCO092/FM7-QM.SLQ015 B Supplier Assess Schedule Form.docx,A,Released,Supplier & Purchasing,
FM8-QM.SLQ015,Supplier Correct Action Req Form,Form,document_control,A,Forms/Templates/Travelers (clean),"Forms, Templates, and Travelers/Forms/FM8-QM.SLQ015 A Supplier Correct Action Req Form.docx",,Released,Supplier & Purchasing,
L.SLQ001,ClearTract 2 Way Foley Catheter Brochure,SOP,records,A,DMR,DMR/L.SLQ001 A ClearTract 2 Way Foley Catheter Brochure.pdf,,Released,Quality Management System,
L.SLQ011,Silq ClearTract Brochure Bi-Fold,SOP,records,B,DMR,DMR/L.SLQ011 B Silq ClearTract Brochure Bi-Fold.pdf,A,Released,Quality Management System,
L.SLQ012,Silq ClearTract Brochure,SOP,records,B,DMR,DMR/L.SLQ012 B Silq ClearTract Brochure.pdf,A,Released,Quality Management System,
L.SLQ013,Silq ClearTract Flyer,SOP,records,A,DMR,DMR/L.SLQ013 A Silq ClearTract Flyer.pdf,,Released,Quality Management System,
MP-C.SLQ001,Manufacturing Procedure. Suspension Processing,SOP,records,B,DMR,DMR/MP-C.SLQ001 B Manufacturing Procedure. Suspension Processing.docx,A,Released,Production & Process,
OM.SLQ001,"Operations Manufacturing Procedure, Fume Hood",SOP,records,A,DMR,"DMR/OM.SLQ001 A Operations Manufacturing Procedure, Fume Hood.docx",,Released,Production & Process,
OM.SLQ002,"Quality Control Procedure, Surface Treatment Verification, Crystal Violet",SOP,records,A,DMR,"DMR/OM.SLQ002 A Quality Control Procedure, Surface Treatment Verification, Crystal Violet.docx",,Released,Design Control,
OM.SLQ003,"Quality Control Procedure, Crystal Violet Absorbance, Silq Surface Treatment",SOP,records,A,DMR,"DMR/OM.SLQ003 A Quality Control Procedure, Crystal Violet Absorbance, Silq Surface Treatment.docx",,Released,Quality Management System,File has no parseable revision: OM.SLQ003 SLQ05132026.docx | File has no parseable revision: OM.SLQ003 SLQ05132026.pdf
OM.SLQ004,"Quality Control Procedure, Coating Adherence Verification, Silq Surface Treatment",SOP,records,A,DMR,"DMR/OM.SLQ004 A Quality Control Procedure, Coating Adherence Verification, Silq Surface Treatment.docx",,Released,Design Control,File has no parseable revision: OM.SLQ004 SLQ05132026.docx | File has no parseable revision: OM.SLQ004 SLQ05132026.pdf
PS-0006,,SOP,records,,(none),,,Draft,Quality Management System,File has no parseable revision: PS-0006 Rev H_signed.pdf
QC-C.SLQ001,Quality Control Procedure Suspension Analysis,SOP,records,B,DMR,DMR/QC-C.SLQ001 B Quality Control Procedure Suspension Analysis.docx,A,Released,Quality Management System,
QC-E.SLQ015,"Quality Control Qualification Procedure, Jenway 7205 Spectrophotometer",SOP,records,A,DMR,"DMR/QC-E.SLQ015 A Quality Control Qualification Procedure, Jenway 7205 Spectrophotometer.docx",,Released,Quality Management System,
QM.SLQ001,Document Control SOP,SOP,document_control,B,QMSInProcess package,QMSInProcess/DCO091/QM.SLQ001 B Document Control SOP.docx,A,Released,Document & Records Control,
QM.SLQ002,Good Documentation Practices SOP,SOP,document_control,B,QM Documents (clean),QM Documents/QM.SLQ002 B Good Documentation Practices SOP.docx,A,Released,Document & Records Control,
QM.SLQ003,Employee Training SOP,SOP,document_control,C,QMSInProcess package,QMSInProcess/DCO092/QM.SLQ003 C Employee Training SOP.docx,A;B,Released,Training,
QM.SLQ004,Design Control Program SOP,SOP,document_control,B,QMSInProcess package,QMSInProcess/CAPA003/QM.SLQ004 B Design Control Program SOP.docx,,Obsolete,Design Control,Marked OBSOLETE by DCO095 (QM.SLQ004–010 family superseded by QM.SLQ052). | No physical file for prior revision A (history gap).
QM.SLQ005,Design Project Planning SOP,SOP,document_control,B,QM Documents (clean),QM Documents/QM.SLQ005 B Design Project Planning SOP.docx,A,Obsolete,Design Control,Marked OBSOLETE by DCO095 (QM.SLQ004–010 family superseded by QM.SLQ052).
QM.SLQ006,Design Input SOP,SOP,document_control,A,QM Documents (clean),QM Documents/QM.SLQ006 A Design Input SOP.docx,,Obsolete,Design Control,Marked OBSOLETE by DCO095 (QM.SLQ004–010 family superseded by QM.SLQ052).
QM.SLQ007,Design Output SOP,SOP,document_control,A,QM Documents (clean),QM Documents/QM.SLQ007 A Design Output SOP.docx,,Obsolete,Design Control,Marked OBSOLETE by DCO095 (QM.SLQ004–010 family superseded by QM.SLQ052).
QM.SLQ008,Design Review SOP,SOP,document_control,A,QM Documents (clean),QM Documents/QM.SLQ008 A Design Review SOP.docx,,Obsolete,Design Control,Marked OBSOLETE by DCO095 (QM.SLQ004–010 family superseded by QM.SLQ052).
QM.SLQ009,Design VV SOP,SOP,document_control,A,QM Documents (clean),QM Documents/QM.SLQ009 A Design VV SOP.docx,,Obsolete,Design Control,Marked OBSOLETE by DCO095 (QM.SLQ004–010 family superseded by QM.SLQ052).
QM.SLQ010,Design Transfer SOP,SOP,document_control,A,QM Documents (clean),QM Documents/QM.SLQ010 A Design Transfer SOP.docx,,Obsolete,Design Control,Marked OBSOLETE by DCO095 (QM.SLQ004–010 family superseded by QM.SLQ052).
QM.SLQ011,Statistical Techniques WI,WI,document_control,B,QMSInProcess package,QMSInProcess/DCO094/QM.SLQ011 B Statistical Techniques WI.docx,A,Released,Quality Management System,
QM.SLQ012,Risk Management SOP,SOP,document_control,C,QMSInProcess package,QMSInProcess/DCO093/QM.SLQ012 C Risk Management SOP.docx,B,Released,Risk Management,No physical file for prior revision A (history gap).
QM.SLQ013,Risk Analysis SOP,SOP,document_control,C,QMSInProcess package,QMSInProcess/DCO093/QM.SLQ013 C Risk Analysis SOP.docx,B,Released,Risk Management,No physical file for prior revision A (history gap).
QM.SLQ014,Electronic Doc System WI,WI,document_control,C,QMSInProcess package,QMSInProcess/DCO091/QM.SLQ014 C Electronic Doc System WI.docx,A;B,Released,Document & Records Control,
QM.SLQ015,Supplier QA SOP,SOP,document_control,C,QMSInProcess package,QMSInProcess/DCO092/QM.SLQ015 C Supplier QA SOP.docx,A;B,Released,Supplier & Purchasing,
QM.SLQ016,CAPA SOP,SOP,document_control,D,QMSInProcess package,QMSInProcess/DCO093/QM.SLQ016 D CAPA SOP.docx,A;B;C,Released,CAPA & Complaints,
QM.SLQ017,Internal Audits SOP,SOP,document_control,B,QMSInProcess package,QMSInProcess/DCO092/QM.SLQ017 B Internal Audits SOP.docx,A,Released,Management & Quality System,
QM.SLQ018,Management Review SOP,SOP,document_control,B,QMSInProcess package,QMSInProcess/DCO093/QM.SLQ018 B Management Review SOP.docx,A,Released,Management & Quality System,
QM.SLQ019,Identification and Traceability SOP,SOP,document_control,C,QM Documents (clean),QM Documents/QM.SLQ019 C Identification and Traceability SOP.docx,A;B,Released,Document & Records Control,
QM.SLQ020,Purchasing Controls SOP,SOP,document_control,E,QMSInProcess package,QMSInProcess/DCO092/QM.SLQ020 E Purchasing Controls SOP.docx,A;B;C;D,Released,Supplier & Purchasing,
QM.SLQ021,Product Complaint System SOP,SOP,document_control,E,QMSInProcess package,QMSInProcess/DCO093/QM.SLQ021 E Product Complaint System SOP.docx,A;B;C;D,Released,CAPA & Complaints,
QM.SLQ022,Medical Device Reporting,SOP,document_control,C,QMSInProcess package,QMSInProcess/DCO093/QM.SLQ022 C Medical Device Reporting.docx,B,Released,Post-Market & Regulatory,No physical file for prior revision A (history gap).
QM.SLQ023,eMDR Submission Work Instruction,WI,document_control,B,QMSInProcess package,QMSInProcess/DCO093/QM.SLQ023 B eMDR Submission Work Instruction.docx,A,Released,Post-Market & Regulatory,
QM.SLQ025,Quality Planning SOP,SOP,document_control,A,QM Documents (clean),QM Documents/QM.SLQ025 A Quality Planning SOP.DOCX,,Released,Management & Quality System,
QM.SLQ026,Part Number Assignment WI,WI,document_control,D,QMSInProcess package,QMSInProcess/DCO094/QM.SLQ026 D Part Number Assignment WI.docx,A;B;C,Released,Document & Records Control,
QM.SLQ027,Quality Manual,Manual,document_control,F,QMSInProcess package,QMSInProcess/DCO094/QM.SLQ027 F Quality Manual.docx,A;B;C;D;E,Released,Management & Quality System,
QM.SLQ028,Protection of Confidential Patient Information,SOP,document_control,B,QMSInProcess package,QMSInProcess/DCO093/QM.SLQ028 B Protection of Confidential Patient Information.docx,A,Released,Document & Records Control,
QM.SLQ029,DHR Review and Approval SOP,SOP,document_control,B,QMSInProcess package,QMSInProcess/DCO094/QM.SLQ029 B DHR Review and Approval SOP.docx,A,Released,Document & Records Control,
QM.SLQ030,Advisory Notices and Recalls SOP,SOP,document_control,B,QMSInProcess package,QMSInProcess/DCO093/QM.SLQ030 B Advisory Notices and Recalls SOP.docx,A,Released,CAPA & Complaints,
QM.SLQ032,Software Validation SOP,SOP,document_control,A,QM Documents (clean),QM Documents/QM.SLQ032 A Software Validation SOP.docx,,Released,Quality Management System,
QM.SLQ033,Post-Market Surveillance SOP,SOP,document_control,B,QMSInProcess package,QMSInProcess/DCO094/QM.SLQ033 B Post-Market Surveillance SOP.docx,A,Released,Post-Market & Regulatory,
QM.SLQ034,Organization Chart,SOP,document_control,G,QMSInProcess package,QMSInProcess/DCO088/QM.SLQ034 G Organization Chart.pdf,A;B;C;D;E;F,Released,Management & Quality System,
QM.SLQ035,Quality Policy,Policy,document_control,D,QM Documents (clean),QM Documents/QM.SLQ035 D Quality Policy .docx,A;B;C,Released,Management & Quality System,
QM.SLQ036,Sales Order SOP,SOP,document_control,F,QMSInProcess package,QMSInProcess/DCO092/QM.SLQ036 F Sales Order SOP.docx,A;B;C;D;E,Released,Sales & Order Management,
QM.SLQ037,Quality Objectives,SOP,document_control,B,QMSInProcess package,QMSInProcess/DCO094/QM.SLQ037 B Quality Objectives.docx,A,Released,Management & Quality System,
QM.SLQ038,Managing Regulatory Inspections,SOP,document_control,C,QMSInProcess package,QMSInProcess/DCO094/QM.SLQ038 C Managing Regulatory Inspections.docx,B,Released,Post-Market & Regulatory,No physical file for prior revision A (history gap).
QM.SLQ039,Receiving Inspection SOP,SOP,document_control,C,QMSInProcess package,QMSInProcess/DCO094/QM.SLQ039 C Receiving Inspection SOP.docx,A;B,Released,Production & Process,
QM.SLQ040,Nonconforming Materials SOP,SOP,document_control,C,QMSInProcess package,QMSInProcess/DCO094/QM.SLQ040 C Nonconforming Materials SOP.docx,A;B,Released,CAPA & Complaints,
QM.SLQ043,Work Order SOP,SOP,document_control,B,QMSInProcess package,QMSInProcess/DCO094/QM.SLQ043 B Work Order SOP.docx,A,Released,Production & Process,
QM.SLQ045,Receiving SOP,SOP,document_control,B,QMSInProcess package,QMSInProcess/DCO094/QM.SLQ045 B Receiving SOP.docx,A,Released,Production & Process,
QM.SLQ046,Shipping SOP,SOP,document_control,B,QMSInProcess package,QMSInProcess/DCO094/QM.SLQ046 B Shipping SOP.docx,A,Released,Production & Process,
QM.SLQ047,Process Validation SOP,SOP,document_control,B,QMSInProcess package,QMSInProcess/DCO094/QM.SLQ047 B Process Validation SOP.docx,A,Released,Production & Process,
QM.SLQ048,Device Master Record SOP,SOP,document_control,B,QMSInProcess package,QMSInProcess/DCO094/QM.SLQ048 B Device Master Record SOP.docx,A,Released,Production & Process,
QM.SLQ049,Workstation Practices SOP,SOP,document_control,B,QMSInProcess package,QMSInProcess/DCO094/QM.SLQ049 B Workstation Practices SOP.docx,A,Released,Production & Process,
QM.SLQ050,Calibration and Preventive Maintenance SOP,SOP,document_control,B,QMSInProcess package,QMSInProcess/DCO094/QM.SLQ050 B Calibration and Preventive Maintenance SOP.docx,A,Released,Equipment & Facilities,
QM.SLQ051,Environmental Monitoring,SOP,document_control,B,QMSInProcess package,QMSInProcess/DCO094/QM.SLQ051 B Environmental Monitoring.docx,A,Released,Equipment & Facilities,
QM.SLQ052,Design Control SOP,SOP,document_control,A,QMSInProcess package,QMSInProcess/DCO095/QM.SLQ052 A Design Control SOP.docx,,Released,Design Control,
RM-0018,Cover sheet,SOP,records,D,RiskManagement,RiskManagement/RM-0018 Rev D Cover sheet.docx,,Released,Quality Management System,"File has no parseable revision: RM-0018, Rev D_Risk Management Plan, SILQ Foley Catheter.docx | No physical file for prior revision A (history gap). | No physical file for prior revision B (history gap). | No physical file for prior revision C (history gap)."
RM-0019,Cover sheet,SOP,records,D,RiskManagement,RiskManagement/RM-0019  Rev D Cover sheet.docx,,Released,Quality Management System,"File has no parseable revision: RM-0019, Rev D_Hazard Analysis (HA) Risk Management Report, SILQ Foley Catheter.docx | No physical file for prior revision A (history gap). | No physical file for prior revision B (history gap). | No physical file for prior revision C (history gap)."
RM-0020,Cover sheet,SOP,records,D,RiskManagement,RiskManagement/RM-0020 Rev D Cover sheet.docx,,Released,Quality Management System,"File has no parseable revision: RM-0020 Rev D_DFMEA Risk Management Report, HDX Foley Catheter.docx | No physical file for prior revision A (history gap). | No physical file for prior revision B (history gap). | No physical file for prior revision C (history gap)."
RM-0094,,SOP,records,,(none),,,Draft,Quality Management System,"File has no parseable revision: RM-0094, Rev A_Risk Management, Production & Post-Production Review, SILQ.pdf"
SLQ-4000,,SOP,records,A,DCOs/Previous Revisions,DCOs/Previous Revisions/SP-L_PreviousRevisions/SLQ-4000_A.pdf,,Released,Quality Management System,
SLQ-4001,,SOP,records,A,DCOs/Previous Revisions,DCOs/Previous Revisions/SP-L_PreviousRevisions/SLQ-4001_A.pdf,,Released,Quality Management System,
SLQ-6000,"- Catheter, 14 Fr x 10 mL, Silicone, NY Foley, 2-Way",SOP,records,B,QMSInProcess package,"QMSInProcess/CAPA001/SLQ-6000_B - Catheter, 14 Fr x 10 mL, Silicone, NY Foley, 2-Way.pdf",,Released,Quality Management System,No physical file for prior revision A (history gap).
SLQ-6002,"- Catheter, 18 Fr x 10 mL, Silicone, NY Foley, 2-Way",SOP,records,B,QMSInProcess package,"QMSInProcess/CAPA001/SLQ-6002_B - Catheter, 18 Fr x 10 mL, Silicone, NY Foley, 2-Way.pdf",,Released,Quality Management System,No physical file for prior revision A (history gap).
SP-C.SLQ001,"Specification, Suspension",SOP,records,B,DMR,"DMR/SP-C.SLQ001 B Specification, Suspension.docx",A,Released,Quality Management System,
SP-C.SLQ002,"Source Control Specification, Label Stock, 4 in. x 6 in., White",SOP,records,A,DMR,"DMR/SP-C.SLQ002 A Source Control Specification, Label Stock, 4 in. x 6 in., White.docx",,Released,Quality Management System,
SP-C.SLQ003,"Source Control Specification, Drum, Plastic, 55 gallon, Closed Top",SOP,records,A,DMR,"DMR/SP-C.SLQ003 A Source Control Specification, Drum, Plastic, 55 gallon, Closed Top.docx",,Released,Quality Management System,
SP-E.SLQ001,"Source Control Specification, Portable Exchange Deionizer (PEDI) System",SOP,records,A,(none),,,Released,Quality Management System,Current revision A known from the DCO log but NO physical file located. | No physical file found in any scanned folder for this document.
SP-E.SLQ002,"Source Control Specification, High Purity Water Tank Assembly, 750 gallon",SOP,records,A,(none),,,Released,Quality Management System,Current revision A known from the DCO log but NO physical file located. | No physical file found in any scanned folder for this document.
SP-E.SLQ003,"Source Control Specification, Waste Diaphragm Pump",SOP,records,B,(none),,A,Released,Quality Management System,Current revision B known from the DCO log but NO physical file located.
SP-E.SLQ004,"Source Control Specification, Waste Tank Assembly, 500 gallon",SOP,records,A,(none),,,Released,Quality Management System,Current revision A known from the DCO log but NO physical file located. | No physical file found in any scanned folder for this document.
SP-E.SLQ006,"Source Control Specification, Diafiltration System, KrosFlo KTF-2000 System",SOP,records,B,(none),,A,Released,Quality Management System,Current revision B known from the DCO log but NO physical file located.
SP-E.SLQ007,"Source Control Specification, Pneumatic Drum Stirrer",SOP,records,A,(none),,,Released,Quality Management System,Current revision A known from the DCO log but NO physical file located. | No physical file found in any scanned folder for this document.
SP-E.SLQ008,"Source Control Specification, Fume Hood",SOP,records,C,(none),,A;B,Released,Quality Management System,Current revision C known from the DCO log but NO physical file located.
SP-E.SLQ009,"Source Control Specification, Concentrate Reactor",SOP,records,A,(none),,,Released,Quality Management System,Current revision A known from the DCO log but NO physical file located. | No physical file found in any scanned folder for this document.
SP-E.SLQ010,"Source Control Specification, Floor Scale, Concentrate Reactor",SOP,records,B,(none),,A,Released,Quality Management System,Current revision B known from the DCO log but NO physical file located.
SP-E.SLQ011,"Source Control Specification, Peristaltic Pump, Large Flow",SOP,records,B,(none),,A,Released,Quality Management System,Current revision B known from the DCO log but NO physical file located.
SP-E.SLQ012,"Source Control Specification, Floor Scale, Suspension",SOP,records,B,(none),,A,Released,Quality Management System,Current revision B known from the DCO log but NO physical file located.
SP-E.SLQ013,"Source Control Specification, Weighing Scale",SOP,records,B,(none),,A,Released,Quality Management System,Current revision B known from the DCO log but NO physical file located.
